id,title,release_year,observed_stars,measured_stars,diff,perc_err,sentiment,sentiment_score,review_url
42,2012,2009,3.5,1.5,1.5,0.75,negative,-0.170427,http://www.rogerebert.com/reviews/2012-2009
44,Jupiter Ascending,2015,2.0,1.5,0.5,0.3333333333333333,negative,-0.294497,http://www.rogerebert.com/reviews/jupiter-ascending-2015
45,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,3.0,2.5,0.5,0.2,positive,0.125842,http://www.rogerebert.com/reviews/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-2005
47,The Dark Knight,2008,4.0,2.5,1.5,0.6,positive,0.222467,http://www.rogerebert.com/reviews/the-dark-knight-2008
48,Up,2009,4.0,2.5,1.5,0.6,positive,0.146481,http://www.rogerebert.com/reviews/up-2009
49,Monsters vs. Aliens,2009,2.5,1.5,1.0,0.6666666666666666,negative,-0.272078,http://www.rogerebert.com/reviews/monsters-vs-aliens-2009
50,Hugo,2011,4.0,3.0,0.5,0.14285714285714285,positive,0.536068,http://www.rogerebert.com/reviews/hugo-2011
51,Wild Wild West,1999,1.0,0.5,0.0,0.0,negative,-0.605829,http://www.rogerebert.com/reviews/wild-wild-west-1999
52,The Mummy: Tomb of the Dragon Emperor,2008,3.0,1.5,1.5,1.0,negative,-0.323895,http://www.rogerebert.com/reviews/the-mummy-tomb-of-the-dragon-emperor-2008
53,Suicide Squad,2016,1.5,1.5,-0.5,0.25,negative,-0.127932,http://www.rogerebert.com/reviews/suicide-squad-2016
55,Edge of Tomorrow,2014,3.5,2.0,1.5,0.75,negative,-0.0738267,http://www.rogerebert.com/reviews/edge-of-tomorrow-2014
56,G.I. Joe: The Rise of Cobra,2009,1.5,1.0,0.0,0.0,negative,-0.444173,http://www.rogerebert.com/reviews/gi-joe-the-rise-of-cobra-2009
57,Inside Out,2015,4.0,2.0,2.0,1.0,negative,-0.0302235,http://www.rogerebert.com/reviews/inside-out-2015
58,The Jungle Book,2016,4.0,2.5,1.5,0.6,positive,0.229612,http://www.rogerebert.com/reviews/the-jungle-book-2016
59,47 Ronin,2013,1.0,1.0,0.0,0.0,negative,-0.533898,http://www.rogerebert.com/reviews/47-ronin-2013
61,Tomorrowland,2015,3.0,2.5,0.5,0.2,positive,0.187525,http://www.rogerebert.com/reviews/tomorrowland-2015
62,Independence Day: Resurgence,2016,1.5,1.5,0.0,0.0,negative,-0.278533,http://www.rogerebert.com/reviews/independence-day-resurgence-2016
63,Terminator 3: Rise of the Machines,2003,2.5,1.5,0.5,0.25,negative,-0.161402,http://www.rogerebert.com/reviews/terminator-3-rise-of-the-machines-2003
64,Interstellar,2014,3.5,2.5,1.0,0.4,positive,0.148016,http://www.rogerebert.com/reviews/interstellar-2014
65,Inception,2010,4.0,2.0,1.5,0.6,positive,0.0613207,http://www.rogerebert.com/reviews/inception-2010
66,The Fast and the Furious,2001,3.0,1.5,1.0,0.5,negative,-0.201686,http://www.rogerebert.com/reviews/the-fast-and-the-furious-2001
67,The Curious Case of Benjamin Button,2008,2.5,1.5,0.5,0.25,negative,-0.126634,http://www.rogerebert.com/reviews/the-curious-case-of-benjamin-button-2008
70,The Sorcerer's Apprentice,2010,2.5,2.5,-0.5,0.16666666666666666,positive,0.286542,http://www.rogerebert.com/reviews/the-sorcerers-apprentice-2010
71,Alice Through the Looking Glass,2016,0.0,1.5,-2.0,1.0,negative,-0.244767,http://www.rogerebert.com/reviews/alice-through-the-looking-glass-2016
73,Terminator Genisys,2015,2.0,1.5,0.0,0.0,negative,-0.142111,http://www.rogerebert.com/reviews/terminator-genisys-2015
74,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,3.0,1.0,1.5,1.0,negative,-0.373323,http://www.rogerebert.com/reviews/the-chronicles-of-narnia-the-voyage-of-the-dawn-treader-2010
75,Pearl Harbor,2001,1.5,0.5,0.5,0.5,negative,-0.567587,http://www.rogerebert.com/reviews/pearl-harbor-2001
